INDEP,SHIFT,DEP,STOR
16N,16N,16N,1S
1.77,-0.07,7.46,
1.78,-0.07,7.87,
1.79,-0.07,8.29,
1.80,-0.07,8.73,
1.81,-0.07,9.18,
1.82,-0.07,9.65,
1.83,-0.07,10.13,
1.84,-0.07,10.63,
1.85,-0.07,11.14,
1.86,-0.07,11.66,
1.87,-0.07,12.20,
1.88,-0.07,12.76,
1.89,-0.07,13.33,
1.90,-0.07,13.92,
1.91,-0.07,14.53,
1.92,-0.07,15.15,
1.93,-0.07,15.78,
1.94,-0.07,16.44,
1.95,-0.07,17.11,
1.96,-0.07,17.80,
1.97,-0.07,18.50,
1.98,-0.07,19.22,
1.99,-0.07,19.96,
2.00,-0.07,20.72,
2.01,-0.07,21.50,
2.02,-0.07,22.29,
2.03,-0.07,23.10,
2.04,-0.07,23.93,
2.05,-0.07,24.78,
2.06,-0.07,25.65,
2.07,-0.07,26.53,
2.08,-0.07,27.44,
2.09,-0.07,28.36,
2.10,-0.07,29.31,
2.11,-0.07,30.27,
2.12,-0.07,31.25,
2.13,-0.07,32.25,
2.14,-0.07,33.28,
2.15,-0.07,34.32,
2.16,-0.07,35.38,
2.17,-0.07,36.46,
2.18,-0.07,37.57,
2.19,-0.07,38.69,
2.20,-0.07,39.84,
2.21,-0.07,41.01,
2.22,-0.07,42.20,
2.23,-0.07,43.40,
2.24,-0.07,44.64,
2.25,-0.07,45.89,
2.26,-0.07,47.16,
2.27,-0.07,48.46,
2.28,-0.07,49.78,
2.29,-0.07,51.12,
2.30,-0.07,52.49,
2.31,-0.07,53.87,
2.32,-0.07,55.28,
2.33,-0.07,56.72,
2.34,-0.07,58.17,
2.35,-0.07,59.65,
2.36,-0.07,61.16,
2.37,-0.07,62.68,
2.38,-0.07,64.23,
2.39,-0.07,65.81,
2.40,-0.07,67.40,
2.41,-0.07,69.03,
2.42,-0.07,70.67,
2.43,-0.07,72.35,
2.44,-0.07,74.04,
2.45,-0.07,75.76,
2.46,-0.07,77.51,
2.47,-0.07,79.28,
2.48,-0.07,81.07,
2.49,-0.07,82.90,
2.50,-0.07,84.74,
2.51,-0.07,86.62,
2.52,-0.07,88.51,
2.53,-0.07,90.44,
2.54,-0.07,92.39,
2.55,-0.07,94.37,
2.56,-0.07,96.37,
2.57,-0.07,98.40,
2.58,-0.07,100.46,
2.59,-0.07,102.54,
2.60,-0.07,104.65,
2.61,-0.07,106.79,
2.62,-0.07,108.95,
2.63,-0.07,111.15,
2.64,-0.07,113.37,
2.65,-0.07,115.62,
2.66,-0.07,117.89,
2.67,-0.07,120.19,
2.68,-0.07,122.53,
2.69,-0.07,124.89,
2.70,-0.07,127.27,
2.71,-0.07,129.69,
2.72,-0.07,132.14,
2.73,-0.07,134.61,
2.74,-0.07,137.12,
2.75,-0.07,139.65,
2.76,-0.07,142.21,
2.77,-0.07,144.80,
2.78,-0.07,147.42,
2.79,-0.07,150.07,
2.80,-0.07,152.75,
2.81,-0.07,155.46,
2.82,-0.07,158.20,
2.83,-0.07,160.97,
2.84,-0.07,163.78,
2.85,-0.07,166.61,
2.86,-0.07,169.47,
2.87,-0.07,172.36,
2.88,-0.07,175.28,
2.89,-0.07,178.24,
2.90,-0.07,181.23,*
2.91,-0.07,184.24,
2.92,-0.07,187.29,
2.93,-0.07,190.37,
2.94,-0.07,193.48,
2.95,-0.07,196.63,
2.96,-0.07,199.80,
2.97,-0.07,203.01,
2.98,-0.07,205.86,
2.99,-0.07,208.73,
3.00,-0.07,211.63,
3.01,-0.07,214.69,
3.02,-0.07,217.77,
3.03,-0.07,220.88,
3.04,-0.07,224.01,
3.05,-0.07,227.17,
3.06,-0.07,230.35,
3.07,-0.07,233.56,
3.08,-0.07,236.80,
3.09,-0.07,240.06,
3.10,-0.07,243.35,
3.11,-0.06,246.66,
3.12,-0.06,250.00,
3.13,-0.06,253.36,
3.14,-0.06,256.76,
3.15,-0.06,260.17,
3.16,-0.06,263.62,
3.17,-0.06,267.09,
3.18,-0.06,270.58,
3.19,-0.06,274.11,
3.20,-0.06,277.66,
3.21,-0.06,281.23,
3.22,-0.06,284.83,
3.23,-0.06,288.46,
3.24,-0.06,292.12,
3.25,-0.06,295.80,
3.26,-0.06,299.51,
3.27,-0.06,303.24,
3.28,-0.06,307.01,
3.29,-0.06,310.80,
3.30,-0.06,314.61,
3.31,-0.06,318.46,
3.32,-0.06,322.33,
3.33,-0.05,326.22,
3.34,-0.05,330.15,
3.35,-0.05,334.10,
3.36,-0.05,338.08,
3.37,-0.05,342.09,
3.38,-0.05,346.12,
3.39,-0.05,350.18,
3.40,-0.05,354.27,
3.41,-0.05,358.39,
3.42,-0.05,362.53,
3.43,-0.05,366.70,
3.44,-0.05,370.90,
3.45,-0.05,375.13,
3.46,-0.05,379.38,
3.47,-0.05,383.67,
3.48,-0.05,387.98,
3.49,-0.05,392.31,
3.50,-0.05,396.68,
3.51,-0.05,401.08,
3.52,-0.05,405.50,
3.53,-0.05,409.95,
3.54,-0.04,414.43,
3.55,-0.04,418.93,
3.56,-0.04,423.47,
3.57,-0.04,428.03,
3.58,-0.04,432.62,
3.59,-0.04,437.24,
3.60,-0.04,441.89,
3.61,-0.04,446.57,
3.62,-0.04,451.28,
3.63,-0.04,456.01,
3.64,-0.04,460.77,
3.65,-0.04,465.57,
3.66,-0.04,470.39,
3.67,-0.04,475.24,
3.68,-0.04,480.11,
3.69,-0.04,485.02,
3.70,-0.04,489.96,
3.71,-0.04,494.92,
3.72,-0.04,499.92,
3.73,-0.04,504.94,
3.74,-0.04,509.99,
3.75,-0.04,515.07,
3.76,-0.03,520.18,
3.77,-0.03,525.32,
3.78,-0.03,530.49,
3.79,-0.03,535.69,
3.80,-0.03,540.92,
3.81,-0.03,546.17,
3.82,-0.03,551.46,
3.83,-0.03,556.78,
3.84,-0.03,562.12,
3.85,-0.03,567.50,
3.86,-0.03,572.90,
3.87,-0.03,578.34,
3.88,-0.03,583.80,
3.89,-0.03,589.30,
3.90,-0.03,594.82,
3.91,-0.03,600.38,
3.92,-0.03,605.96,
3.93,-0.03,611.57,
3.94,-0.03,617.22,
3.95,-0.03,622.89,
3.96,-0.03,628.60,
3.97,-0.02,634.33,
3.98,-0.02,640.09,
3.99,-0.02,645.89,
4.00,-0.02,651.71,
4.01,-0.02,657.57,
4.02,-0.02,663.45,
4.03,-0.02,669.37,
4.04,-0.02,675.32,
4.05,-0.02,681.29,
4.06,-0.02,687.30,
4.07,-0.02,693.34,
4.08,-0.02,699.41,
4.09,-0.02,705.51,
4.10,-0.02,711.64,
4.11,-0.02,717.80,
4.12,-0.02,723.99,
4.13,-0.02,730.21,
4.14,-0.02,736.47,
4.15,-0.02,742.75,
4.16,-0.02,749.07,
4.17,-0.02,755.41,
4.18,-0.01,761.79,
4.19,-0.01,768.20,
4.20,-0.01,774.64,
4.21,-0.01,781.11,
4.22,-0.01,787.61,
4.23,-0.01,794.14,
4.24,-0.01,800.71,
4.25,-0.01,807.30,
4.26,-0.01,813.93,
4.27,-0.01,820.59,
4.28,-0.01,827.28,
4.29,-0.01,834.00,
4.30,-0.01,840.75,
4.31,-0.01,847.54,
4.32,-0.01,854.35,
4.33,-0.01,861.20,
4.34,-0.01,868.08,
4.35,-0.01,874.99,
4.36,-0.01,881.93,
4.37,-0.01,888.91,
4.38,-0.01,895.92,
4.39,-0.01,902.95,
4.40,0.00,910.02,
4.41,0.00,917.13,
4.42,0.00,924.26,
4.43,0.00,931.43,
4.44,0.00,938.63,
4.45,0.00,945.86,
4.46,0.00,953.12,
4.47,0.00,960.41,
4.48,0.00,967.74,
4.49,0.00,975.10,
4.50,0.00,982.49,
4.51,0.00,989.59,
4.52,0.00,996.71,
4.53,0.00,1003.86,
4.54,0.00,1011.04,
4.55,0.00,1018.25,
4.56,0.00,1025.49,
4.57,0.00,1032.76,
4.58,0.00,1040.06,
4.59,0.00,1047.39,
4.60,0.00,1054.75,
4.61,0.00,1062.14,
4.62,0.00,1069.56,
4.63,0.00,1077.01,
4.64,0.00,1084.49,
4.65,0.00,1092.00,
4.66,0.00,1099.54,
4.67,0.00,1107.11,
4.68,0.00,1114.71,
4.69,0.00,1122.34,
4.70,0.00,1130.00,
4.71,0.00,1137.69,
4.72,0.00,1145.41,
4.73,0.00,1153.16,
4.74,0.00,1160.94,
4.75,0.00,1168.76,
4.76,0.00,1176.60,
4.77,0.00,1184.47,
4.78,0.00,1192.37,
4.79,0.00,1200.31,
4.80,0.00,1208.27,
4.81,0.00,1216.26,
4.82,0.00,1224.29,
4.83,0.00,1232.34,
4.84,0.00,1240.43,
4.85,0.00,1248.55,
4.86,0.00,1256.69,
4.87,0.00,1264.87,
4.88,0.00,1273.08,
4.89,0.00,1281.32,
4.90,0.00,1289.59,
4.91,0.00,1297.89,
4.92,0.00,1306.22,
4.93,0.00,1314.59,
4.94,0.00,1322.98,
4.95,0.00,1331.41,
4.96,0.00,1339.86,
4.97,0.00,1348.35,
4.98,0.00,1356.87,
4.99,0.00,1365.41,
5.00,0.00,1374.00,
5.01,0.00,1382.61,
5.02,0.00,1391.25,
5.03,0.00,1399.92,
5.04,0.00,1408.63,
5.05,0.00,1417.36,
5.06,0.00,1426.13,
5.07,0.00,1434.93,
5.08,0.00,1443.76,
5.09,0.00,1452.62,
5.10,0.00,1461.52,
5.11,0.00,1470.44,
5.12,0.00,1479.40,
5.13,0.00,1488.38,
5.14,0.00,1497.40,
5.15,0.00,1506.45,
5.16,0.00,1515.54,
5.17,0.00,1524.65,
5.18,0.00,1533.80,
5.19,0.00,1542.97,
5.20,0.00,1552.18,
5.21,0.00,1561.42,
5.22,0.00,1570.69,
5.23,0.00,1580.00,
5.24,0.00,1589.34,
5.25,0.00,1598.70,
5.26,0.00,1608.10,
5.27,0.00,1617.54,
5.28,0.00,1627.00,*
5.29,0.00,1636.50,
5.30,0.00,1646.02,
5.31,0.00,1655.58,
5.32,0.00,1665.18,
5.33,0.00,1674.80,
5.34,0.00,1684.46,
5.35,0.00,1694.15,
5.36,0.00,1703.87,
5.37,0.00,1713.62,
5.38,0.00,1723.40,
5.39,0.00,1733.22,
5.40,0.00,1743.07,
5.41,0.00,1752.95,
5.42,0.00,1762.87,
5.43,0.00,1772.82,
5.44,0.00,1782.80,
5.45,0.00,1792.81,
5.46,0.00,1802.85,
5.47,0.00,1812.93,
5.48,0.00,1823.04,
5.49,0.00,1833.18,
5.50,0.00,1843.36,
5.51,0.00,1853.56,
5.52,0.00,1863.80,
5.53,0.00,1874.08,
5.54,0.00,1884.38,
5.55,0.00,1894.72,
5.56,0.00,1905.09,
5.57,0.00,1915.50,
5.58,0.00,1925.93,
5.59,0.00,1936.40,
5.60,0.00,1946.90,
5.61,0.00,1957.44,
5.62,0.00,1968.01,
5.63,0.00,1978.61,
5.64,0.00,1989.24,
5.65,0.00,1999.91,
5.66,0.00,2010.61,
5.67,0.00,2021.34,
5.68,0.00,2032.11,
5.69,0.00,2042.91,
5.70,0.00,2053.74,
5.71,0.00,2064.61,
5.72,0.00,2075.51,
5.73,0.00,2086.44,
5.74,0.00,2097.41,
5.75,0.00,2108.41,
5.76,0.00,2119.44,
5.77,0.00,2130.51,
5.78,0.00,2141.61,
5.79,0.00,2152.74,
5.80,0.00,2163.91,
5.81,0.00,2175.11,
5.82,0.00,2186.34,
5.83,0.00,2197.61,
5.84,0.00,2208.91,
5.85,0.00,2220.24,*
